action_id,customer_type,department,action_type,amount,action_confidence,contains_sensitive_data,identity_verified,requested_by_role,expected_decision,expected_risk_level,expected_approval_level,actual_decision,actual_risk_level,actual_approval_level,policy_refs_json,reason,human_review_required,decision_confidence,passed,score,failure_reasons_json,improvement_note,requires_human_review
ACT-030,regular,support,close_support_ticket,0.0,0.97,False,True,agent,allowed,Low,none,allowed,Low,none,"[""POL-009""]",Support ticket closure meets confidence threshold for auto-approval. Action evaluated under baseline policy POL-009 with no escalation.,False,0.97,True,100,[],Governance decision matches expected outcome.,False
ACT-031,regular,support,close_support_ticket,0.0,0.68,False,True,agent,requires_approval,Medium,team_lead,requires_approval,Medium,team_lead,"[""POL-009""]",Ticket closure confidence 0.68 is below 0.7 and requires human review (POL-009). Action confidence 0.68 is below 0.7 and requires human review (POL-009).,True,0.68,True,100,[],Governance decision matches expected outcome.,True
ACT-032,vip,support,close_support_ticket,0.0,0.91,False,True,agent,allowed,Low,none,allowed,Low,none,"[""POL-009""]",Support ticket closure meets confidence threshold for auto-approval. Action evaluated under baseline policy POL-009 with no escalation.,False,0.91,True,100,[],Governance decision matches expected outcome.,False
ACT-033,regular,compliance,access_sensitive_record,0.0,0.93,True,True,agent,requires_approval,Critical,compliance,blocked,Critical,compliance,"[""POL-008"", ""POL-011""]",Sensitive record access blocked for non-admin roles and requires compliance review (POL-008). Critical risk actions cannot be auto-approved (POL-011).,True,0.93,False,70,"[""wrong_decision""]",Refine decision rules for this action type.,True
ACT-034,vip,compliance,access_sensitive_record,0.0,0.9,True,True,admin,allowed,High,none,requires_approval,High,compliance,"[""POL-008""]",Sensitive record access by admin still requires compliance approval (POL-008).,True,0.9,False,50,"[""wrong_decision"", ""wrong_approval_level""]",Refine decision rules for this action type. Clarify approval-level mapping for policy outcomes.,True
ACT-035,business,compliance,access_sensitive_record,0.0,0.87,True,True,compliance,allowed,Medium,none,blocked,Critical,compliance,"[""POL-008"", ""POL-011""]",Sensitive record access blocked for non-admin roles and requires compliance review (POL-008). Critical risk actions cannot be auto-approved (POL-011).,True,0.87,False,25,"[""wrong_decision"", ""wrong_risk_level"", ""wrong_approval_level""]",Refine decision rules for this action type. Improve risk scoring thresholds and sensitive-action handling. Clarify approval-level mapping for policy outcomes.,True
ACT-036,regular,technical,access_sensitive_record,0.0,0.75,True,False,agent,requires_approval,Critical,compliance,blocked,Critical,compliance,"[""POL-008"", ""POL-011""]",Sensitive record access blocked for non-admin roles and requires compliance review (POL-008). Critical risk actions cannot be auto-approved (POL-011).,True,0.75,False,70,"[""wrong_decision""]",Refine decision rules for this action type.,True
ACT-037,regular,billing,refund_customer,500.0,0.9,False,True,manager,allowed,Medium,none,allowed,Medium,none,"[""POL-001""]",Refund of $500.00 is within auto-approval limits. Action evaluated under baseline policy POL-001 with no escalation.,False,0.9,True,100,[],Governance decision matches expected outcome.,False
ACT-038,regular,support,refund_customer,501.0,0.89,False,True,agent,requires_approval,High,manager,requires_approval,High,manager,"[""POL-001""]",Refund of $501.00 exceeds $500 and requires manager approval (POL-001).,True,0.89,True,100,[],Governance decision matches expected outcome.,True
ACT-039,business,support,escalate_ticket,0.0,0.45,True,True,agent,requires_approval,Critical,team_lead,requires_approval,High,manager,"[""POL-009"", ""POL-012""]",Ticket escalation with sensitive data requires manager approval (POL-012). Action confidence 0.45 is below 0.7 and requires human review (POL-009).,True,0.45,False,55,"[""wrong_risk_level"", ""wrong_approval_level""]",Improve risk scoring thresholds and sensitive-action handling. Clarify approval-level mapping for policy outcomes.,True
ACT-040,regular,billing,refund_customer,150.0,0.94,False,False,agent,blocked,High,none,blocked,High,none,"[""POL-004""]",Refund blocked because customer identity is not verified (POL-004).,True,0.94,True,100,[],Governance decision matches expected outcome.,True
